N,1,0,0,
J,CRISTIANO,0,0,PORTUGAL,DELANTERO,SPORTING DE LISBOA, MANCHESTER UNITED, REAL MADRID,
J,SUAREZ,0,0,URUGUAY,DELANTERO,CLUB NACIONAL,GRONINGEN,AJAX,LIVERPOOL,BARCELONA,
J,AGUERO,0,0,ARGENTINA,DELANTERO,INDEPENDIENTE,ATLETICO DE MADRID,MANCHESTER CITY,
J,N2J4,0,0,PERU,ARQUERO,EQUIPO1,EQUIPO2,EQUIPO1,EQUIPO3,
J,N2J5,0,0,PERU,ARQUERO,EQUIPO1,EQUIPO2,EQUIPO1,EQUIPO3,
J,N2J6,0,0,PERU,ARQUERO,EQUIPO1,EQUIPO2,EQUIPO1,EQUIPO3,
J,N2J7,0,0,PERU,ARQUERO,EQUIPO1,EQUIPO2,EQUIPO1,EQUIPO3,
J,N2J8,0,0,PERU,ARQUERO,EQUIPO1,EQUIPO2,EQUIPO1,EQUIPO3,
J,N2J9,0,0,PERU,ARQUERO,EQUIPO1,EQUIPO2,EQUIPO1,EQUIPO3,
J,N2J10,0,0,PERU,ARQUERO,EQUIPO1,EQUIPO2,EQUIPO1,EQUIPO3,
J,N2J11,0,0,PERU,ARQUERO,EQUIPO1,EQUIPO2,EQUIPO1,EQUIPO3,
J,N2J12,0,0,PERU,ARQUERO,EQUIPO1,EQUIPO2,EQUIPO1,EQUIPO3,
J,N2J13,0,0,PERU,ARQUERO,EQUIPO1,EQUIPO2,EQUIPO1,EQUIPO3,
J,N2J14,0,0,PERU,ARQUERO,EQUIPO1,EQUIPO2,EQUIPO1,EQUIPO3,
J,N2J15,0,0,PERU,ARQUERO,EQUIPO1,EQUIPO2,EQUIPO1,EQUIPO3,
J,N2J16,0,0,PERU,ARQUERO,EQUIPO1,EQUIPO2,EQUIPO1,EQUIPO3,
J,N2J17,0,0,PERU,ARQUERO,EQUIPO1,EQUIPO2,EQUIPO1,EQUIPO3,
J,N2J18,0,0,PERU,ARQUERO,EQUIPO1,EQUIPO2,EQUIPO1,EQUIPO3,
J,N2J19,0,0,PERU,ARQUERO,EQUIPO1,EQUIPO2,EQUIPO1,EQUIPO3,
J,N2J20,0,0,PERU,ARQUERO,EQUIPO1,EQUIPO2,EQUIPO1,EQUIPO3,
J,N2J21,0,0,PERU,ARQUERO,EQUIPO1,EQUIPO2,EQUIPO1,EQUIPO3,
J,N2J22,0,0,PERU,ARQUERO,EQUIPO1,EQUIPO2,EQUIPO1,EQUIPO3,
J,N2J23,0,0,PERU,ARQUERO,EQUIPO1,EQUIPO2,EQUIPO1,EQUIPO3,
J,N2J24,0,0,PERU,ARQUERO,EQUIPO1,EQUIPO2,EQUIPO1,EQUIPO3,
J,N2J25,0,0,PERU,ARQUERO,EQUIPO1,EQUIPO2,EQUIPO1,EQUIPO3,
J,N2J26,0,0,PERU,ARQUERO,EQUIPO1,EQUIPO2,EQUIPO1,EQUIPO3,
J,N2J27,0,0,PERU,ARQUERO,EQUIPO1,EQUIPO2,EQUIPO1,EQUIPO3,
J,N2J28,0,0,PERU,ARQUERO,EQUIPO1,EQUIPO2,EQUIPO1,EQUIPO3,
J,N2J29,0,0,PERU,ARQUERO,EQUIPO1,EQUIPO2,EQUIPO1,EQUIPO3,
J,N2J30,0,0,PERU,ARQUERO,EQUIPO1,EQUIPO2,EQUIPO1,EQUIPO3,
N,3,0,35,
J,N3J1,0,0,PERU,ARQUERO,EQUIPO1,EQUIPO2,EQUIPO1,EQUIPO3,
J,N3J2,0,0,PERU,ARQUERO,EQUIPO1,EQUIPO2,EQUIPO1,EQUIPO3,
J,N3J3,0,0,PERU,ARQUERO,EQUIPO1,EQUIPO2,EQUIPO1,EQUIPO3,
J,N3J4,0,0,PERU,ARQUERO,EQUIPO1,EQUIPO2,EQUIPO1,EQUIPO3,
J,N3J5,0,0,PERU,ARQUERO,EQUIPO1,EQUIPO2,EQUIPO1,EQUIPO3,
J,N3J6,0,0,PERU,ARQUERO,EQUIPO1,EQUIPO2,EQUIPO1,EQUIPO3,
J,N3J7,0,0,PERU,ARQUERO,EQUIPO1,EQUIPO2,EQUIPO1,EQUIPO3,
J,N3J8,0,0,PERU,ARQUERO,EQUIPO1,EQUIPO2,EQUIPO1,EQUIPO3,
J,N3J9,0,0,PERU,ARQUERO,EQUIPO1,EQUIPO2,EQUIPO1,EQUIPO3,
J,N3J10,0,0,PERU,ARQUERO,EQUIPO1,EQUIPO2,EQUIPO1,EQUIPO3,
J,N3J11,0,0,PERU,ARQUERO,EQUIPO1,EQUIPO2,EQUIPO1,EQUIPO3,
J,N3J12,0,0,PERU,ARQUERO,EQUIPO1,EQUIPO2,EQUIPO1,EQUIPO3,
J,N3J13,0,0,PERU,ARQUERO,EQUIPO1,EQUIPO2,EQUIPO1,EQUIPO3,
J,N3J14,0,0,PERU,ARQUERO,EQUIPO1,EQUIPO2,EQUIPO1,EQUIPO3,
J,N3J15,0,0,PERU,ARQUERO,EQUIPO1,EQUIPO2,EQUIPO1,EQUIPO3,
J,N3J16,0,0,PERU,ARQUERO,EQUIPO1,EQUIPO2,EQUIPO1,EQUIPO3,
J,N3J17,0,0,PERU,ARQUERO,EQUIPO1,EQUIPO2,EQUIPO1,EQUIPO3,
J,N3J18,0,0,PERU,ARQUERO,EQUIPO1,EQUIPO2,EQUIPO1,EQUIPO3,
J,N3J19,0,0,PERU,ARQUERO,EQUIPO1,EQUIPO2,EQUIPO1,EQUIPO3,
J,N3J20,0,0,PERU,ARQUERO,EQUIPO1,EQUIPO2,EQUIPO1,EQUIPO3,
J,N3J21,0,0,PERU,ARQUERO,EQUIPO1,EQUIPO2,EQUIPO1,EQUIPO3,
J,N3J22,0,0,PERU,ARQUERO,EQUIPO1,EQUIPO2,EQUIPO1,EQUIPO3,
J,N3J23,0,0,PERU,ARQUERO,EQUIPO1,EQUIPO2,EQUIPO1,EQUIPO3,
J,N3J24,0,0,PERU,ARQUERO,EQUIPO1,EQUIPO2,EQUIPO1,EQUIPO3,
J,N3J25,0,0,PERU,ARQUERO,EQUIPO1,EQUIPO2,EQUIPO1,EQUIPO3,
J,N3J26,0,0,PERU,ARQUERO,EQUIPO1,EQUIPO2,EQUIPO1,EQUIPO3,
J,N3J27,0,0,PERU,ARQUERO,EQUIPO1,EQUIPO2,EQUIPO1,EQUIPO3,
J,N3J28,0,0,PERU,ARQUERO,EQUIPO1,EQUIPO2,EQUIPO1,EQUIPO3,
J,N3J29,0,0,PERU,ARQUERO,EQUIPO1,EQUIPO2,EQUIPO1,EQUIPO3,
J,N3J30,0,0,PERU,ARQUERO,EQUIPO1,EQUIPO2,EQUIPO1,EQUIPO3,
N,4,0,55,
J,N4J1,0,0,PERU,ARQUERO,EQUIPO1,EQUIPO2,EQUIPO1,EQUIPO3,
J,N4J2,0,0,PERU,ARQUERO,EQUIPO1,EQUIPO2,EQUIPO1,EQUIPO3,
J,N4J3,0,0,PERU,ARQUERO,EQUIPO1,EQUIPO2,EQUIPO1,EQUIPO3,
J,N4J4,0,0,PERU,ARQUERO,EQUIPO1,EQUIPO2,EQUIPO1,EQUIPO3,
J,N4J5,0,0,PERU,ARQUERO,EQUIPO1,EQUIPO2,EQUIPO1,EQUIPO3,
J,N4J6,0,0,PERU,ARQUERO,EQUIPO1,EQUIPO2,EQUIPO1,EQUIPO3,
J,N4J7,0,0,PERU,ARQUERO,EQUIPO1,EQUIPO2,EQUIPO1,EQUIPO3,
J,N4J8,0,0,PERU,ARQUERO,EQUIPO1,EQUIPO2,EQUIPO1,EQUIPO3,
J,N4J9,0,0,PERU,ARQUERO,EQUIPO1,EQUIPO2,EQUIPO1,EQUIPO3,
J,N4J10,0,0,PERU,ARQUERO,EQUIPO1,EQUIPO2,EQUIPO1,EQUIPO3,
J,N4J11,0,0,PERU,ARQUERO,EQUIPO1,EQUIPO2,EQUIPO1,EQUIPO3,
J,N4J12,0,0,PERU,ARQUERO,EQUIPO1,EQUIPO2,EQUIPO1,EQUIPO3,
J,N4J13,0,0,PERU,ARQUERO,EQUIPO1,EQUIPO2,EQUIPO1,EQUIPO3,
J,N4J14,0,0,PERU,ARQUERO,EQUIPO1,EQUIPO2,EQUIPO1,EQUIPO3,
J,N4J15,0,0,PERU,ARQUERO,EQUIPO1,EQUIPO2,EQUIPO1,EQUIPO3,
J,N4J16,0,0,PERU,ARQUERO,EQUIPO1,EQUIPO2,EQUIPO1,EQUIPO3,
J,N4J17,0,0,PERU,ARQUERO,EQUIPO1,EQUIPO2,EQUIPO1,EQUIPO3,
J,N4J18,0,0,PERU,ARQUERO,EQUIPO1,EQUIPO2,EQUIPO1,EQUIPO3,
J,N4J19,0,0,PERU,ARQUERO,EQUIPO1,EQUIPO2,EQUIPO1,EQUIPO3,
J,N4J20,0,0,PERU,ARQUERO,EQUIPO1,EQUIPO2,EQUIPO1,EQUIPO3,
J,N4J21,0,0,PERU,ARQUERO,EQUIPO1,EQUIPO2,EQUIPO1,EQUIPO3,
J,N4J22,0,0,PERU,ARQUERO,EQUIPO1,EQUIPO2,EQUIPO1,EQUIPO3,
J,N4J23,0,0,PERU,ARQUERO,EQUIPO1,EQUIPO2,EQUIPO1,EQUIPO3,
J,N4J24,0,0,PERU,ARQUERO,EQUIPO1,EQUIPO2,EQUIPO1,EQUIPO3,
J,N4J25,0,0,PERU,ARQUERO,EQUIPO1,EQUIPO2,EQUIPO1,EQUIPO3,
J,N4J26,0,0,PERU,ARQUERO,EQUIPO1,EQUIPO2,EQUIPO1,EQUIPO3,
J,N4J27,0,0,PERU,ARQUERO,EQUIPO1,EQUIPO2,EQUIPO1,EQUIPO3,
J,N4J28,0,0,PERU,ARQUERO,EQUIPO1,EQUIPO2,EQUIPO1,EQUIPO3,
J,N4J29,0,0,PERU,ARQUERO,EQUIPO1,EQUIPO2,EQUIPO1,EQUIPO3,
J,N4J30,0,0,PERU,ARQUERO,EQUIPO1,EQUIPO2,EQUIPO1,EQUIPO3,
N,5,0,80,
J,N5J1,0,0,PERU,ARQUERO,EQUIPO1,EQUIPO2,EQUIPO1,EQUIPO3,
J,N5J2,0,0,PERU,ARQUERO,EQUIPO1,EQUIPO2,EQUIPO1,EQUIPO3,
J,N5J3,0,0,PERU,ARQUERO,EQUIPO1,EQUIPO2,EQUIPO1,EQUIPO3,
J,N5J4,0,0,PERU,ARQUERO,EQUIPO1,EQUIPO2,EQUIPO1,EQUIPO3,
J,N5J5,0,0,PERU,ARQUERO,EQUIPO1,EQUIPO2,EQUIPO1,EQUIPO3,
J,N5J6,0,0,PERU,ARQUERO,EQUIPO1,EQUIPO2,EQUIPO1,EQUIPO3,
J,N5J7,0,0,PERU,ARQUERO,EQUIPO1,EQUIPO2,EQUIPO1,EQUIPO3,
J,N5J8,0,0,PERU,ARQUERO,EQUIPO1,EQUIPO2,EQUIPO1,EQUIPO3,
J,N5J9,0,0,PERU,ARQUERO,EQUIPO1,EQUIPO2,EQUIPO1,EQUIPO3,
J,N5J10,0,0,PERU,ARQUERO,EQUIPO1,EQUIPO2,EQUIPO1,EQUIPO3,
J,N5J11,0,0,PERU,ARQUERO,EQUIPO1,EQUIPO2,EQUIPO1,EQUIPO3,
J,N5J12,0,0,PERU,ARQUERO,EQUIPO1,EQUIPO2,EQUIPO1,EQUIPO3,
J,N5J13,0,0,PERU,ARQUERO,EQUIPO1,EQUIPO2,EQUIPO1,EQUIPO3,
J,N5J14,0,0,PERU,ARQUERO,EQUIPO1,EQUIPO2,EQUIPO1,EQUIPO3,
J,N5J15,0,0,PERU,ARQUERO,EQUIPO1,EQUIPO2,EQUIPO1,EQUIPO3,
J,N5J16,0,0,PERU,ARQUERO,EQUIPO1,EQUIPO2,EQUIPO1,EQUIPO3,
J,N5J17,0,0,PERU,ARQUERO,EQUIPO1,EQUIPO2,EQUIPO1,EQUIPO3,
J,N5J18,0,0,PERU,ARQUERO,EQUIPO1,EQUIPO2,EQUIPO1,EQUIPO3,
J,N5J19,0,0,PERU,ARQUERO,EQUIPO1,EQUIPO2,EQUIPO1,EQUIPO3,
J,N5J20,0,0,PERU,ARQUERO,EQUIPO1,EQUIPO2,EQUIPO1,EQUIPO3,
J,N5J21,0,0,PERU,ARQUERO,EQUIPO1,EQUIPO2,EQUIPO1,EQUIPO3,
J,N5J22,0,0,PERU,ARQUERO,EQUIPO1,EQUIPO2,EQUIPO1,EQUIPO3,
J,N5J23,0,0,PERU,ARQUERO,EQUIPO1,EQUIPO2,EQUIPO1,EQUIPO3,
J,N5J24,0,0,PERU,ARQUERO,EQUIPO1,EQUIPO2,EQUIPO1,EQUIPO3,
J,N5J25,0,0,PERU,ARQUERO,EQUIPO1,EQUIPO2,EQUIPO1,EQUIPO3,
J,N5J26,0,0,PERU,ARQUERO,EQUIPO1,EQUIPO2,EQUIPO1,EQUIPO3,
J,N5J27,0,0,PERU,ARQUERO,EQUIPO1,EQUIPO2,EQUIPO1,EQUIPO3,
J,N5J28,0,0,PERU,ARQUERO,EQUIPO1,EQUIPO2,EQUIPO1,EQUIPO3,
J,N5J29,0,0,PERU,ARQUERO,EQUIPO1,EQUIPO2,EQUIPO1,EQUIPO3,
J,N5J30,0,0,PERU,ARQUERO,EQUIPO1,EQUIPO2,EQUIPO1,EQUIPO3,
N,6,0,110,
J,N6J1,0,0,PERU,ARQUERO,EQUIPO1,EQUIPO2,EQUIPO1,EQUIPO3,
J,N6J2,0,0,PERU,ARQUERO,EQUIPO1,EQUIPO2,EQUIPO1,EQUIPO3,
J,N6J3,0,0,PERU,ARQUERO,EQUIPO1,EQUIPO2,EQUIPO1,EQUIPO3,
J,N6J4,0,0,PERU,ARQUERO,EQUIPO1,EQUIPO2,EQUIPO1,EQUIPO3,
J,N6J5,0,0,PERU,ARQUERO,EQUIPO1,EQUIPO2,EQUIPO1,EQUIPO3,
J,N6J6,0,0,PERU,ARQUERO,EQUIPO1,EQUIPO2,EQUIPO1,EQUIPO3,
J,N6J7,0,0,PERU,ARQUERO,EQUIPO1,EQUIPO2,EQUIPO1,EQUIPO3,
J,N6J8,0,0,PERU,ARQUERO,EQUIPO1,EQUIPO2,EQUIPO1,EQUIPO3,
J,N6J9,0,0,PERU,ARQUERO,EQUIPO1,EQUIPO2,EQUIPO1,EQUIPO3,
J,N6J10,0,0,PERU,ARQUERO,EQUIPO1,EQUIPO2,EQUIPO1,EQUIPO3,
J,N6J11,0,0,PERU,ARQUERO,EQUIPO1,EQUIPO2,EQUIPO1,EQUIPO3,
J,N6J12,0,0,PERU,ARQUERO,EQUIPO1,EQUIPO2,EQUIPO1,EQUIPO3,
J,N6J13,0,0,PERU,ARQUERO,EQUIPO1,EQUIPO2,EQUIPO1,EQUIPO3,
J,N6J14,0,0,PERU,ARQUERO,EQUIPO1,EQUIPO2,EQUIPO1,EQUIPO3,
J,N6J15,0,0,PERU,ARQUERO,EQUIPO1,EQUIPO2,EQUIPO1,EQUIPO3,
J,N6J16,0,0,PERU,ARQUERO,EQUIPO1,EQUIPO2,EQUIPO1,EQUIPO3,
J,N6J17,0,0,PERU,ARQUERO,EQUIPO1,EQUIPO2,EQUIPO1,EQUIPO3,
J,N6J18,0,0,PERU,ARQUERO,EQUIPO1,EQUIPO2,EQUIPO1,EQUIPO3,
J,N6J19,0,0,PERU,ARQUERO,EQUIPO1,EQUIPO2,EQUIPO1,EQUIPO3,
J,N6J20,0,0,PERU,ARQUERO,EQUIPO1,EQUIPO2,EQUIPO1,EQUIPO3,
J,N6J21,0,0,PERU,ARQUERO,EQUIPO1,EQUIPO2,EQUIPO1,EQUIPO3,
J,N6J22,0,0,PERU,ARQUERO,EQUIPO1,EQUIPO2,EQUIPO1,EQUIPO3,
J,N6J23,0,0,PERU,ARQUERO,EQUIPO1,EQUIPO2,EQUIPO1,EQUIPO3,
J,N6J24,0,0,PERU,ARQUERO,EQUIPO1,EQUIPO2,EQUIPO1,EQUIPO3,
J,N6J25,0,0,PERU,ARQUERO,EQUIPO1,EQUIPO2,EQUIPO1,EQUIPO3,
J,N6J26,0,0,PERU,ARQUERO,EQUIPO1,EQUIPO2,EQUIPO1,EQUIPO3,
J,N6J27,0,0,PERU,ARQUERO,EQUIPO1,EQUIPO2,EQUIPO1,EQUIPO3,
J,N6J28,0,0,PERU,ARQUERO,EQUIPO1,EQUIPO2,EQUIPO1,EQUIPO3,
J,N6J29,0,0,PERU,ARQUERO,EQUIPO1,EQUIPO2,EQUIPO1,EQUIPO3,
J,N6J30,0,0,PERU,ARQUERO,EQUIPO1,EQUIPO2,EQUIPO1,EQUIPO3,
N,7,0,140,
J,N7J1,0,0,PERU,ARQUERO,EQUIPO1,EQUIPO2,EQUIPO1,EQUIPO3,
J,N7J2,0,0,PERU,ARQUERO,EQUIPO1,EQUIPO2,EQUIPO1,EQUIPO3,
J,N7J3,0,0,PERU,ARQUERO,EQUIPO1,EQUIPO2,EQUIPO1,EQUIPO3,
J,N7J4,0,0,PERU,ARQUERO,EQUIPO1,EQUIPO2,EQUIPO1,EQUIPO3,
J,N7J5,0,0,PERU,ARQUERO,EQUIPO1,EQUIPO2,EQUIPO1,EQUIPO3,
J,N7J6,0,0,PERU,ARQUERO,EQUIPO1,EQUIPO2,EQUIPO1,EQUIPO3,
J,N7J7,0,0,PERU,ARQUERO,EQUIPO1,EQUIPO2,EQUIPO1,EQUIPO3,
J,N7J8,0,0,PERU,ARQUERO,EQUIPO1,EQUIPO2,EQUIPO1,EQUIPO3,
J,N7J9,0,0,PERU,ARQUERO,EQUIPO1,EQUIPO2,EQUIPO1,EQUIPO3,
J,N7J10,0,0,PERU,ARQUERO,EQUIPO1,EQUIPO2,EQUIPO1,EQUIPO3,
J,N7J11,0,0,PERU,ARQUERO,EQUIPO1,EQUIPO2,EQUIPO1,EQUIPO3,
J,N7J12,0,0,PERU,ARQUERO,EQUIPO1,EQUIPO2,EQUIPO1,EQUIPO3,
J,N7J13,0,0,PERU,ARQUERO,EQUIPO1,EQUIPO2,EQUIPO1,EQUIPO3,
J,N7J14,0,0,PERU,ARQUERO,EQUIPO1,EQUIPO2,EQUIPO1,EQUIPO3,
J,N7J15,0,0,PERU,ARQUERO,EQUIPO1,EQUIPO2,EQUIPO1,EQUIPO3,
J,N7J16,0,0,PERU,ARQUERO,EQUIPO1,EQUIPO2,EQUIPO1,EQUIPO3,
J,N7J17,0,0,PERU,ARQUERO,EQUIPO1,EQUIPO2,EQUIPO1,EQUIPO3,
J,N7J18,0,0,PERU,ARQUERO,EQUIPO1,EQUIPO2,EQUIPO1,EQUIPO3,
J,N7J19,0,0,PERU,ARQUERO,EQUIPO1,EQUIPO2,EQUIPO1,EQUIPO3,
J,N7J20,0,0,PERU,ARQUERO,EQUIPO1,EQUIPO2,EQUIPO1,EQUIPO3,
J,N7J21,0,0,PERU,ARQUERO,EQUIPO1,EQUIPO2,EQUIPO1,EQUIPO3,
J,N7J22,0,0,PERU,ARQUERO,EQUIPO1,EQUIPO2,EQUIPO1,EQUIPO3,
J,N7J23,0,0,PERU,ARQUERO,EQUIPO1,EQUIPO2,EQUIPO1,EQUIPO3,
J,N7J24,0,0,PERU,ARQUERO,EQUIPO1,EQUIPO2,EQUIPO1,EQUIPO3,
J,N7J25,0,0,PERU,ARQUERO,EQUIPO1,EQUIPO2,EQUIPO1,EQUIPO3,
J,N7J26,0,0,PERU,ARQUERO,EQUIPO1,EQUIPO2,EQUIPO1,EQUIPO3,
J,N7J27,0,0,PERU,ARQUERO,EQUIPO1,EQUIPO2,EQUIPO1,EQUIPO3,
J,N7J28,0,0,PERU,ARQUERO,EQUIPO1,EQUIPO2,EQUIPO1,EQUIPO3,
J,N7J29,0,0,PERU,ARQUERO,EQUIPO1,EQUIPO2,EQUIPO1,EQUIPO3,
J,N7J30,0,0,PERU,ARQUERO,EQUIPO1,EQUIPO2,EQUIPO1,EQUIPO3,
N,8,0,175,
J,N8J1,0,0,PERU,ARQUERO,EQUIPO1,EQUIPO2,EQUIPO1,EQUIPO3,
J,N8J2,0,0,PERU,ARQUERO,EQUIPO1,EQUIPO2,EQUIPO1,EQUIPO3,
J,N8J3,0,0,PERU,ARQUERO,EQUIPO1,EQUIPO2,EQUIPO1,EQUIPO3,
J,N8J4,0,0,PERU,ARQUERO,EQUIPO1,EQUIPO2,EQUIPO1,EQUIPO3,
J,N8J5,0,0,PERU,ARQUERO,EQUIPO1,EQUIPO2,EQUIPO1,EQUIPO3,
J,N8J6,0,0,PERU,ARQUERO,EQUIPO1,EQUIPO2,EQUIPO1,EQUIPO3,
J,N8J7,0,0,PERU,ARQUERO,EQUIPO1,EQUIPO2,EQUIPO1,EQUIPO3,
J,N8J8,0,0,PERU,ARQUERO,EQUIPO1,EQUIPO2,EQUIPO1,EQUIPO3,
J,N8J9,0,0,PERU,ARQUERO,EQUIPO1,EQUIPO2,EQUIPO1,EQUIPO3,
J,N8J10,0,0,PERU,ARQUERO,EQUIPO1,EQUIPO2,EQUIPO1,EQUIPO3,
J,N8J11,0,0,PERU,ARQUERO,EQUIPO1,EQUIPO2,EQUIPO1,EQUIPO3,
J,N8J12,0,0,PERU,ARQUERO,EQUIPO1,EQUIPO2,EQUIPO1,EQUIPO3,
J,N8J13,0,0,PERU,ARQUERO,EQUIPO1,EQUIPO2,EQUIPO1,EQUIPO3,
J,N8J14,0,0,PERU,ARQUERO,EQUIPO1,EQUIPO2,EQUIPO1,EQUIPO3,
J,N8J15,0,0,PERU,ARQUERO,EQUIPO1,EQUIPO2,EQUIPO1,EQUIPO3,
J,N8J16,0,0,PERU,ARQUERO,EQUIPO1,EQUIPO2,EQUIPO1,EQUIPO3,
J,N8J17,0,0,PERU,ARQUERO,EQUIPO1,EQUIPO2,EQUIPO1,EQUIPO3,
J,N8J18,0,0,PERU,ARQUERO,EQUIPO1,EQUIPO2,EQUIPO1,EQUIPO3,
J,N8J19,0,0,PERU,ARQUERO,EQUIPO1,EQUIPO2,EQUIPO1,EQUIPO3,
J,N8J20,0,0,PERU,ARQUERO,EQUIPO1,EQUIPO2,EQUIPO1,EQUIPO3,
J,N8J21,0,0,PERU,ARQUERO,EQUIPO1,EQUIPO2,EQUIPO1,EQUIPO3,
J,N8J22,0,0,PERU,ARQUERO,EQUIPO1,EQUIPO2,EQUIPO1,EQUIPO3,
J,N8J23,0,0,PERU,ARQUERO,EQUIPO1,EQUIPO2,EQUIPO1,EQUIPO3,
J,N8J24,0,0,PERU,ARQUERO,EQUIPO1,EQUIPO2,EQUIPO1,EQUIPO3,
J,N8J25,0,0,PERU,ARQUERO,EQUIPO1,EQUIPO2,EQUIPO1,EQUIPO3,
J,N8J26,0,0,PERU,ARQUERO,EQUIPO1,EQUIPO2,EQUIPO1,EQUIPO3,
J,N8J27,0,0,PERU,ARQUERO,EQUIPO1,EQUIPO2,EQUIPO1,EQUIPO3,
J,N8J28,0,0,PERU,ARQUERO,EQUIPO1,EQUIPO2,EQUIPO1,EQUIPO3,
J,N8J29,0,0,PERU,ARQUERO,EQUIPO1,EQUIPO2,EQUIPO1,EQUIPO3,
J,N8J30,0,0,PERU,ARQUERO,EQUIPO1,EQUIPO2,EQUIPO1,EQUIPO3,
N,9,0,215,
J,N9J1,0,0,PERU,ARQUERO,EQUIPO1,EQUIPO2,EQUIPO1,EQUIPO3,
J,N9J2,0,0,PERU,ARQUERO,EQUIPO1,EQUIPO2,EQUIPO1,EQUIPO3,
J,N9J3,0,0,PERU,ARQUERO,EQUIPO1,EQUIPO2,EQUIPO1,EQUIPO3,
J,N9J4,0,0,PERU,ARQUERO,EQUIPO1,EQUIPO2,EQUIPO1,EQUIPO3,
J,N9J5,0,0,PERU,ARQUERO,EQUIPO1,EQUIPO2,EQUIPO1,EQUIPO3,
J,N9J6,0,0,PERU,ARQUERO,EQUIPO1,EQUIPO2,EQUIPO1,EQUIPO3,
J,N9J7,0,0,PERU,ARQUERO,EQUIPO1,EQUIPO2,EQUIPO1,EQUIPO3,
J,N9J8,0,0,PERU,ARQUERO,EQUIPO1,EQUIPO2,EQUIPO1,EQUIPO3,
